instance,n_runs,ref,avg_size,min_size,max_size,avg_rel_err,avg_time_s,all_valid
large1,50,3303,3303.00,3303,3303,0.0000,60.03,True
large2,50,594,594.00,594,594,0.0000,60.02,True
large3,50,2203,2203.26,2203,2205,0.0001,60.02,True
large4,50,3926,3926.00,3926,3926,0.0000,60.03,True
large5,50,1000,1000.00,1000,1000,0.0000,61.24,True
large6,50,980,980.00,980,980,0.0000,60.63,True
large7,50,1917,1929.54,1926,1933,0.0065,60.33,True
large8,50,1785,1802.64,1794,1810,0.0099,60.14,True
large9,50,790,790.52,790,791,0.0007,60.18,True
large10,50,933,933.00,933,933,0.0000,61.12,True
large11,50,989,990.04,989,991,0.0011,60.26,True
large12,50,1438,1440.44,1438,1443,0.0017,60.34,True
small1,50,21,21.00,21,21,0.0000,2.01,True
small2,50,20,20.00,20,20,0.0000,2.01,True
small3,50,20,20.00,20,20,0.0000,2.01,True
small4,50,20,20.00,20,20,0.0000,2.01,True
small5,50,21,21.00,21,21,0.0000,2.02,True
small6,50,20,20.00,20,20,0.0000,2.01,True
small7,50,20,20.00,20,20,0.0000,2.01,True
small8,50,19,19.00,19,19,0.0000,2.00,True
small9,50,21,21.00,21,21,0.0000,2.00,True
small10,50,21,21.00,21,21,0.0000,2.00,True
small11,50,21,21.00,21,21,0.0000,2.01,True
small12,50,20,20.00,20,20,0.0000,2.01,True
small13,50,21,21.00,21,21,0.0000,2.00,True
small14,50,21,21.00,21,21,0.0000,2.00,True
small15,50,21,21.00,21,21,0.0000,2.00,True
small16,50,20,20.00,20,20,0.0000,2.01,True
small17,50,14,14.00,14,14,0.0000,2.01,True
small18,50,158,158.00,158,158,0.0000,2.01,True
test1,50,2,2.00,2,2,0.0000,2.00,True
test2,50,3,3.00,3,3,0.0000,2.00,True
test3,50,5,5.00,5,5,0.0000,2.00,True
test4,50,7,7.00,7,7,0.0000,2.00,True
test5,50,7,7.00,7,7,0.0000,2.01,True
